序号,TP,TN,FP,FN
1,4.0,,,
2,,,3.0,
3,,3.0,,
4,,,,2.0
5,,,4.0,
6,,2.0,,
7,,2.0,,
8,4.0,,,
9,4.0,,,
10,,2.0,,
11,,,2.0,
12,,,2.0,
13,4.0,,,
14,,,2.0,
15,,,2.0,
16,4.0,,,
17,,,,2.0
18,,2.0,,
19,4.0,,,
20,,,,2.0
21,,,2.0,
22,,,,2.0
23,4.0,,,
24,,,2.0,
25,,,2.0,
26,4.0,,,
27,,,2.0,
28,4.0,,,
29,,2.0,,
30,,2.0,,
31,,2.0,,
32,4.0,,,
33,4.0,,,
34,,,2.0,
35,4.0,,,
36,,,,2.0
37,4.0,,,
38,,,4.0,
39,4.0,,,
40,4.0,,,
41,4.0,,,
42,,,4.0,
43,,3.0,,
44,,,4.0,
45,4.0,,,
46,,4.0,,
47,,,2.0,
48,4.0,,,
49,,2.0,,
50,4.0,,,
